"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"812",607732,"Stallings, Jacob","812","100.0","0.226","0.161","0.262","0.387","0.308","0.317","0.236","42","186","87.8","10.0","2270","88.6","88.58","89","352","460","0.0","6.30","108","152","118","148","304","317","290"
"811",602074,"Daza, Yonathan","811","100.0","0.328","0.085","0.400","0.413","0.346","0.304","0.270","66","201","83.7","5.0","2272","88.8","88.59","86","402","409","-0.2","6.23","107","151","113","147","308","329","294"
"809",663611,"Madrigal, Nick","809","100.0","0.305","0.120","0.324","0.425","0.337","0.281","0.255","61","200","85.1","1.0","2291","89.5","89.41","31","368","441","-0.1","6.26","104","149","107","145","294","311","276"
"808",658069,"Fuentes, Joshua","808","100.0","0.237","0.158","0.286","0.395","0.285","0.239","0.211","51","215","85.6","17.9","2303","88.8","88.58","137","487","321","-0.2","6.23","108","151","119","146","308","330","296"
"802",542340,"Villar, Jonathan","802","100.0","0.246","0.164","0.307","0.410","0.324","0.320","0.236","45","183","87.3","9.3","2205","88.9","88.57","106","386","416","-0.3","6.30","111","150","110","149","295","320","300"
"798",516416,"Segura, Jean","798","100.0","0.332","0.134","0.378","0.465","0.365","0.321","0.270","62","187","87.6","2.3","2263","88.7","88.76","71","387","411","0.1","6.35","106","152","112","149","302","316","281"
"795",643565,"Tauchman, Mike","795","100.0","0.172","0.113","0.232","0.285","0.258","0.269","0.183","26","151","86.4","9.9","2325","89.9","89.67","122","359","436","-0.2","6.28","118","154","115","151","290","320","305"
"790",457763,"Posey, Buster","790","100.0","0.322","0.233","0.351","0.556","0.410","0.385","0.291","58","180","89.6","9.2","2289","89.2","88.56","78","341","449","-0.6","6.34","106","153","122","148","306","324","293"
"790",668731,"Baddoo, Akil","790","100.0","0.277","0.220","0.390","0.497","0.370","0.330","0.223","44","159","86.2","12.4","2224","88.7","88.28","125","356","434","-0.4","6.27","115","150","110","150","292","325","300"
"788",623993,"Santander, Anthony","788","100.0","0.239","0.142","0.299","0.381","0.283","0.314","0.274","42","176","89.1","13.2","2184","88.7","88.18","122","426","362","-0.5","6.33","112","154","119","150","297","323","296"
"786",624415,"Biggio, Cavan","786","100.0","0.221","0.151","0.288","0.372","0.312","0.304","0.211","38","172","89.0","12.9","2264","89.2","88.89","89","324","462","-0.3","6.23","115","161","115","150","288","323","298"
"785",641856,"McKinney, Billy","785","100.0","0.215","0.209","0.252","0.423","0.304","0.318","0.244","35","163","88.7","16.6","2270","89.3","88.60","73","338","447","-0.7","6.28","115","156","130","149","292","322","303"
"777",621466,"Stewart, DJ","777","100.0","0.210","0.156","0.262","0.365","0.305","0.308","0.215","35","167","86.7","17.6","2240","89.5","89.32","122","380","397","-0.2","6.33","116","162","121","153","295","324","301"
"774",664238,"Moore, Dylan","774","100.0","0.189","0.182","0.250","0.371","0.292","0.297","0.209","30","159","85.3","17.0","2297","88.6","88.14","90","316","458","-0.5","6.21","108","152","116","148","298","319","287"
"773",608348,"Kelly, Carson","773","100.0","0.260","0.200","0.287","0.460","0.367","0.391","0.272","39","150","88.6","18.9","2247","89.3","86.39","83","322","451","-2.9","6.42","106","152","120","147","306","322","293"
"773",570481,"González, Erik","773","100.0","0.232","0.071","0.272","0.303","0.247","0.281","0.260","49","211","87.1","0.8","2297","87.6","87.41","112","441","332","-0.2","6.25","109","152","115","147","303","317","286"
"770",543939,"Wong, Kolten","770","100.0","0.294","0.196","0.321","0.490","0.360","0.326","0.271","57","194","86.7","10.7","2240","89.3","84.92","63","375","395","-4.4","6.26","115","150","105","151","291","319","300"
